symbol,year,month,day,price
ETH,2017,8,20,345.44
ETH,2017,8,21,329.39
ETH,2017,8,22,325.1
ETH,2017,8,23,328.65
ETH,2017,8,24,337.24
ETH,2017,8,25,334.7
ETH,2017,8,26,347.92
ETH,2017,8,27,350.5
ETH,2017,8,28,375.18
ETH,2017,8,29,390.64
ETH,2017,8,30,389.64
ETH,2017,8,31,395.3
ETH,2017,9,1,392.04
ETH,2017,9,2,370.5
ETH,2017,9,3,352.45
ETH,2017,9,4,324.37
ETH,2017,9,5,341.77
ETH,2017,9,6,338.92
ETH,2017,9,7,335.39
ETH,2017,9,8,309.07
ETH,2017,9,9,305.76
ETH,2017,9,10,308.3
ETH,2017,9,11,316.38
ETH,2017,9,12,294.39
ETH,2017,9,13,280.65
ETH,2017,9,14,267.7
ETH,2017,9,15,272.43
ETH,2017,9,16,265.78
ETH,2017,9,17,300.69
ETH,2017,9,18,299.91
ETH,2017,9,19,293.74
ETH,2017,9,20,287.13
ETH,2017,9,21,270.74
ETH,2017,9,22,286.72
ETH,2017,9,23,294.54
ETH,2017,9,24,297.01
ETH,2017,9,25,295.89
ETH,2017,9,26,312.64
ETH,2017,9,27,310.24
ETH,2017,9,28,303.54
ETH,2017,9,29,305.91
ETH,2017,9,30,304.79
ETH,2017,10,1,304.13
ETH,2017,10,2,299.92
ETH,2017,10,3,295.57
ETH,2017,10,4,297.47
ETH,2017,10,5,309
ETH,2017,10,6,314.12
ETH,2017,10,7,313.52
ETH,2017,10,8,310.14
ETH,2017,10,9,305.95
ETH,2017,10,10,305.12
ETH,2017,10,11,308.77
ETH,2017,10,12,347.7
ETH,2017,10,13,347.14
ETH,2017,10,14,341.93
ETH,2017,10,15,352.39
ETH,2017,10,16,334.42
ETH,2017,10,17,316.34
ETH,2017,10,18,316.38
ETH,2017,10,19,312.11
ETH,2017,10,20,303.09
ETH,2017,10,21,305.89
ETH,2017,10,22,294.25
ETH,2017,10,23,311.23
ETH,2017,10,24,300.36
ETH,2017,10,25,299.37
ETH,2017,10,26,298.9
ETH,2017,10,27,297.05
ETH,2017,10,28,311.3
ETH,2017,10,29,311.94
ETH,2017,10,30,310.86
ETH,2017,10,31,304.77
ETH,2017,11,1,293.03
ETH,2017,11,2,307.14
ETH,2017,11,3,304.65
ETH,2017,11,4,300.65
ETH,2017,11,5,306.8
ETH,2017,11,6,303.76
ETH,2017,11,7,319.2
ETH,2017,11,8,329.21
ETH,2017,11,9,324.22
ETH,2017,11,10,320.05
ETH,2017,11,11,317.22
ETH,2017,11,12,318.58
ETH,2017,11,13,337.15
ETH,2017,11,14,345.18
ETH,2017,11,15,334.85
ETH,2017,11,16,334.55
ETH,2017,11,17,349.46
ETH,2017,11,18,371.32
ETH,2017,11,19,372.82
ETH,2017,11,20,372.87
ETH,2017,11,21,381.61
ETH,2017,11,22,424.92
ETH,2017,11,23,478.38
ETH,2017,11,24,483.38
ETH,2017,11,25,471.5
ETH,2017,11,26,489.43
ETH,2017,11,27,478.46
ETH,2017,11,28,515.44
ETH,2017,11,29,460.81
ETH,2017,11,30,467.22
ETH,2017,12,1,471.39
ETH,2017,12,2,481.56
ETH,2017,12,3,472.16
ETH,2017,12,4,467.84
ETH,2017,12,5,456.87
ETH,2017,12,6,434.85
ETH,2017,12,7,461.1
ETH,2017,12,8,507.36
ETH,2017,12,9,472.78
ETH,2017,12,10,519.35
ETH,2017,12,11,678.25
ETH,2017,12,12,755.07
ETH,2017,12,13,751.68
ETH,2017,12,14,696.89
ETH,2017,12,15,718.37
ETH,2017,12,16,732.45
ETH,2017,12,17,799.37
ETH,2017,12,18,868.89
ETH,2017,12,19,830.2
ETH,2017,12,20,840.55
ETH,2017,12,21,794.16
ETH,2017,12,22,747.53
ETH,2017,12,23,701.07
ETH,2017,12,24,747.36
ETH,2017,12,25,756.03
ETH,2017,12,26,766.53
ETH,2017,12,27,741.46
ETH,2017,12,28,755.2
ETH,2017,12,29,741.67
ETH,2017,12,30,746.62
ETH,2017,12,31,765.3
ETH,2018,1,1,882.61
ETH,2018,1,2,951.7
ETH,2018,1,3,997.44
ETH,2018,1,4,1018.37
ETH,2018,1,5,1010.17
ETH,2018,1,6,1117.84
ETH,2018,1,7,1228.25
ETH,2018,1,8,1300.3
ETH,2018,1,9,1385.22
ETH,2018,1,10,1333.92
ETH,2018,1,11,1287.06
ETH,2018,1,12,1422.86
ETH,2018,1,13,1389.32
ETH,2018,1,14,1381.35
ETH,2018,1,15,1282.27
ETH,2018,1,16,1115.66
ETH,2018,1,17,1093.9
ETH,2018,1,18,1083.62
ETH,2018,1,19,1164.62
ETH,2018,1,20,1150.57
ETH,2018,1,21,1084.28
ETH,2018,1,22,1020.66
ETH,2018,1,23,1062.6
ETH,2018,1,24,1102.42
ETH,2018,1,25,1075.59
ETH,2018,1,26,1121.9
ETH,2018,1,27,1240.47
ETH,2018,1,28,1240.32
ETH,2018,1,29,1173.18
ETH,2018,1,30,1122.98
ETH,2018,1,31,1155.58
ETH,2018,2,1,1027.66
ETH,2018,2,2,997.6
ETH,2018,2,3,971.05
ETH,2018,2,4,857.82
ETH,2018,2,5,801.73
ETH,2018,2,6,858.28
ETH,2018,2,7,844.86
ETH,2018,2,8,880.22
ETH,2018,2,9,909.32
ETH,2018,2,10,853.74
ETH,2018,2,11,874.85
ETH,2018,2,12,867.6
ETH,2018,2,13,922.37
ETH,2018,2,14,947.53
ETH,2018,2,15,945.36
ETH,2018,2,16,974.83
ETH,2018,2,17,981.48
ETH,2018,2,18,955.62
ETH,2018,2,19,958.86
ETH,2018,2,20,906.56
ETH,2018,2,21,871.32
ETH,2018,2,22,882.42
ETH,2018,2,23,874.72
ETH,2018,2,24,849.52
ETH,2018,2,25,880.12
ETH,2018,2,26,894.92
ETH,2018,2,27,887.51
ETH,2018,2,28,880.21
ETH,2018,3,1,876.56
ETH,2018,3,2,867.44
ETH,2018,3,3,867.34
ETH,2018,3,4,868.8
ETH,2018,3,5,851.04
ETH,2018,3,6,825.32
ETH,2018,3,7,772.51
ETH,2018,3,8,730.46
ETH,2018,3,9,747.82
ETH,2018,3,10,735.01
ETH,2018,3,11,739.87
ETH,2018,3,12,714.19
ETH,2018,3,13,703.38
ETH,2018,3,14,620.43
ETH,2018,3,15,626.13
ETH,2018,3,16,609.94
ETH,2018,3,17,559.93
ETH,2018,3,18,559.07
ETH,2018,3,19,567
ETH,2018,3,20,590.2
ETH,2018,3,21,578.01
ETH,2018,3,22,543.84
ETH,2018,3,23,546.01
ETH,2018,3,24,535.77
ETH,2018,3,25,526.2
ETH,2018,3,26,491.92
ETH,2018,3,27,465.2
ETH,2018,3,28,448.5
ETH,2018,3,29,411.17
ETH,2018,3,30,421.05
ETH,2018,3,31,399.59
XRP,2017,9,1,0.2538
XRP,2017,9,2,0.2381
XRP,2017,9,3,0.2306
XRP,2017,9,4,0.2204
XRP,2017,9,5,0.2329
XRP,2017,9,6,0.2318
XRP,2017,9,7,0.2295
XRP,2017,9,8,0.2145
XRP,2017,9,9,0.2243
XRP,2017,9,10,0.2216
XRP,2017,9,11,0.2242
XRP,2017,9,12,0.2099
XRP,2017,9,13,0.2007
XRP,2017,9,14,0.1917
XRP,2017,9,15,0.1918
XRP,2017,9,16,0.1846
XRP,2017,9,17,0.1946
XRP,2017,9,18,0.1945
XRP,2017,9,19,0.1886
XRP,2017,9,20,0.1831
XRP,2017,9,21,0.177
XRP,2017,9,22,0.1803
XRP,2017,9,23,0.1799
XRP,2017,9,24,0.1869
XRP,2017,9,25,0.194
XRP,2017,9,26,0.2146
XRP,2017,9,27,0.2102
XRP,2017,9,28,0.2025
XRP,2017,9,29,0.2051
XRP,2017,9,30,0.2085
XRP,2017,10,1,0.2092
XRP,2017,10,2,0.2062
XRP,2017,10,3,0.217
XRP,2017,10,4,0.2442
XRP,2017,10,5,0.2444
XRP,2017,10,6,0.2411
XRP,2017,10,7,0.2811
XRP,2017,10,8,0.2802
XRP,2017,10,9,0.2666
XRP,2017,10,10,0.2656
XRP,2017,10,11,0.2652
XRP,2017,10,12,0.2651
XRP,2017,10,13,0.2685
XRP,2017,10,14,0.2691
XRP,2017,10,15,0.2977
XRP,2017,10,16,0.2654
XRP,2017,10,17,0.2344
XRP,2017,10,18,0.232
XRP,2017,10,19,0.2234
XRP,2017,10,20,0.2107
XRP,2017,10,21,0.2114
XRP,2017,10,22,0.202
XRP,2017,10,23,0.2169
